"","tanggal","kasus_baru","meninggal","sembuh"
"1",2020-03-01,2,0,0
"2",2020-03-02,2,0,0
"3",2020-03-03,2,0,0
"4",2020-03-04,2,0,0
"5",2020-03-05,0,1,0
"6",2020-03-06,0,0,0
"7",2020-03-07,0,2,0
"8",2020-03-08,0,0,0
"9",2020-03-09,0,1,0
"10",2020-03-10,0,0,0
"11",2020-03-11,0,0,0
"12",2020-03-12,0,1,4
"13",2020-03-13,0,1,3
"14",2020-03-14,1,1,1
"15",2020-03-15,6,3,0
"16",2020-03-16,0,3,0
"17",2020-03-17,1,1,0
"18",2020-03-18,0,1,0
"19",2020-03-19,1,0,1
"20",2020-03-20,1,3,1
"21",2020-03-21,0,3,6
"22",2020-03-22,0,0,3
"23",2020-03-23,0,0,0
"24",2020-03-24,0,19,3
"25",2020-03-25,0,1,0
"26",2020-03-26,56,2,0
"27",2020-03-27,68,7,6
"28",2020-03-28,41,9,9
"29",2020-03-29,49,10,0
"30",2020-03-30,31,7,0
"31",2020-03-31,42,9,0
"32",2020-04-01,59,1,0
"33",2020-04-02,69,5,2
"34",2020-04-03,70,6,2
"35",2020-04-04,55,8,5
"36",2020-04-05,85,11,2
"37",2020-04-06,98,7,7
"38",2020-04-07,110,14,3
"39",2020-04-08,86,8,5
"40",2020-04-09,226,34,5
"41",2020-04-10,49,11,4
"42",2020-04-11,185,10,7
"43",2020-04-12,122,33,37
"44",2020-04-13,134,7,1
"45",2020-04-14,122,10,0
"46",2020-04-15,128,9,20
"47",2020-04-16,174,1,0
"48",2020-04-17,139,7,35
"49",2020-04-18,100,7,1
"50",2020-04-19,98,3,25
"51",2020-04-20,70,5,7
"52",2020-04-21,149,2,59
"53",2020-04-22,108,1,8
"54",2020-04-23,122,0,4
"55",2020-04-24,78,0,1
"56",2020-04-25,78,18,7
"57",2020-04-26,104,7,1
"58",2020-04-27,65,13,1
"59",2020-04-28,124,3,22
"60",2020-04-29,86,0,74
"61",2020-04-30,83,0,46
"62",2020-05-01,135,4,2
"63",2020-05-02,70,17,24
"64",2020-05-03,58,5,112
"65",2020-05-04,72,8,3
"66",2020-05-05,131,1,66
"67",2020-05-06,103,5,37
"68",2020-05-07,82,8,3
"69",2020-05-08,96,1,0
"70",2020-05-09,98,3,5
"71",2020-05-10,124,6,49
"72",2020-05-11,80,6,9
"73",2020-05-12,94,2,107
"74",2020-05-13,178,6,96
"75",2020-05-14,130,2,134
"76",2020-05-15,82,7,106
"77",2020-05-16,100,0,18
"78",2020-05-17,127,3,11
"79",2020-05-18,79,0,0
"80",2020-05-19,93,7,21
"81",2020-05-20,84,1,3
"82",2020-05-21,69,8,130
"83",2020-05-22,103,29,55
"84",2020-05-23,111,1,54
"85",2020-05-24,112,0,20
"86",2020-05-25,75,0,65
"87",2020-05-26,87,0,13
"88",2020-05-27,108,8,16
"89",2020-05-28,100,0,20
"90",2020-05-29,124,0,38
"91",2020-05-30,103,7,253
"92",2020-05-31,112,1,70
"93",2020-06-01,153,2,185
"94",2020-06-02,59,0,120
"95",2020-06-03,88,5,181
"96",2020-06-04,107,0,21
"97",2020-06-05,70,1,138
"98",2020-06-06,113,0,86
"99",2020-06-07,164,4,285
"100",2020-06-08,88,0,75
"101",2020-06-09,236,4,162
"102",2020-06-10,166,2,141
"103",2020-06-11,131,1,146
"104",2020-06-12,91,4,117
"105",2020-06-13,121,8,57
"106",2020-06-14,118,8,246
"107",2020-06-15,141,2,110
"108",2020-06-16,96,0,132
"109",2020-06-17,122,5,115
"110",2020-06-18,170,30,129
"111",2020-06-19,132,1,126
"112",2020-06-20,189,8,122
"113",2020-06-21,141,1,232
"114",2020-06-22,123,0,74
"115",2020-06-23,160,8,109
"116",2020-06-24,152,8,95
"117",2020-06-25,181,9,218
"118",2020-06-26,197,4,0
"119",2020-06-27,192,8,68
"120",2020-06-28,132,1,255
"121",2020-06-29,122,0,252
"122",2020-06-30,182,8,393
"123",2020-07-01,215,0,167
"124",2020-07-02,200,6,191
"125",2020-07-03,137,5,239
"126",2020-07-04,218,0,267
"127",2020-07-05,255,5,286
"128",2020-07-06,221,0,373
"129",2020-07-07,193,12,242
"130",2020-07-08,350,4,147
"131",2020-07-09,277,6,221
"132",2020-07-10,252,0,180
"133",2020-07-11,383,10,215
"134",2020-07-12,389,10,159
"135",2020-07-13,281,6,208
"136",2020-07-14,266,4,120
"137",2020-07-15,251,5,192
"138",2020-07-16,309,7,135
"139",2020-07-17,257,6,139
"140",2020-07-18,339,8,120
"141",2020-07-19,319,9,326
"142",2020-07-20,381,9,153
"143",2020-07-21,432,8,266
"144",2020-07-22,387,5,366
"145",2020-07-23,462,2,168
"146",2020-07-24,293,4,268
"147",2020-07-25,369,0,174
"148",2020-07-26,384,4,161
"149",2020-07-27,501,10,111
"150",2020-07-28,409,15,376
"151",2020-07-29,617,14,247
"152",2020-07-30,397,19,189
"153",2020-07-31,430,14,405
"154",2020-08-01,368,12,679
